"ToyBox";"IBEA";"PCORRECT";0,2533
"ToyBox";"NSGAII";"PCORRECT";0,12
"ToyBox";"IBEA";"TT50";
"ToyBox";"NSGAII";"TT50";
"ToyBox";"IBEA";"HV";0,2222144
"ToyBox";"NSGAII";"HV";0,2121709
"ToyBox";"IBEA";"TTANY";32523
"ToyBox";"NSGAII";"TTANY";7499
"axTLS";"IBEA";"PCORRECT";0,9933
"axTLS";"NSGAII";"PCORRECT";0,04
"axTLS";"IBEA";"TT50";331314
"axTLS";"NSGAII";"TT50";
"axTLS";"IBEA";"HV";0,2103772
"axTLS";"NSGAII";"HV";0,2101332
"axTLS";"IBEA";"TTANY";58353
"axTLS";"NSGAII";"TTANY";18956
"eCos";"IBEA";"PCORRECT";1
"eCos";"NSGAII";"PCORRECT";0,02
"eCos";"IBEA";"TT50";199680
"eCos";"NSGAII";"TT50";
"eCos";"IBEA";"HV";0,3314029
"eCos";"NSGAII";"HV";0,1051652
"eCos";"IBEA";"TTANY";149722
"eCos";"NSGAII";"TTANY";103275
"FreeBSD";"IBEA";"PCORRECT";0,9766
"FreeBSD";"NSGAII";"PCORRECT";0,00667
"FreeBSD";"IBEA";"TT50";526149
"FreeBSD";"NSGAII";"TT50";
"FreeBSD";"IBEA";"HV";0,3333864
"FreeBSD";"NSGAII";"HV";0,05299984
"FreeBSD";"IBEA";"TTANY";344102
"FreeBSD";"NSGAII";"TTANY";1179749
"Fiasco";"IBEA";"PCORRECT";1
"Fiasco";"NSGAII";"PCORRECT";0,0267
"Fiasco";"IBEA";"TT50";524136
"Fiasco";"NSGAII";"TT50";
"Fiasco";"IBEA";"HV";0,1974679
"Fiasco";"NSGAII";"HV";0,1800287
"Fiasco";"IBEA";"TTANY";129305
"Fiasco";"NSGAII";"TTANY";57266
"uClinux";"IBEA";"PCORRECT";0,313
"uClinux";"NSGAII";"PCORRECT";0,04
"uClinux";"IBEA";"TT50";
"uClinux";"NSGAII";"TT50";
"uClinux";"IBEA";"HV";0,3037075
"uClinux";"NSGAII";"HV";0,1535332
"uClinux";"IBEA";"TTANY";55203
"uClinux";"NSGAII";"TTANY";19969
"Linux";"IBEA";"PCORRECT";0
"Linux";"NSGAII";"PCORRECT";0
"Linux";"IBEA";"TT50";
"Linux";"NSGAII";"TT50";
"Linux";"IBEA";"HV";0
"Linux";"NSGAII";"HV";0
"Linux";"IBEA";"TTANY";
"Linux";"NSGAII";"TTANY";
