root, time_passes, gvn, instcombine, inline, jump_threading, simplifycfg, sccp, print_used_types, ipsccp, iv_users, licm, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -33,4465322023112
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, -26,6244003529449
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3,54841048451154
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -45,0261013273779
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -31,825311238423
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -51,5787156635432
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 22,0451354007654
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 5,99660722110359
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -13,7224065500774
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -4,76949481505463
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -19,6815477727099
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -23,7499214629254
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 12,1371320881355
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2,53413050861185
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -25,8265704010885
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -60,1626838798657
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 20,0026508556383
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0,229935436725373
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 16,9454419988838
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 29,815138633976
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 16,5754369526214
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -31,4932891501841
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1,65923011055703
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32,6011901084615
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 11,6722709607318
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 14,2561883602245
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -22,4915025483087
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -22,9359188724237
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 14,7596393586273
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -16,8410022891588
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -22,1309058580095
0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -53,2015714140455
0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, -6,0574281769168
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 8,86712350587098
0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3,71676352811624
0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 30,7530361640867
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 3,9067093653642
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, -8,24996271240107
