root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1162,82209281399
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 252,477541899466
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 558,245724940965
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 643,705669946201
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 119,097844705373
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 62,7534643740362
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 196,805966138304
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -55,0770636415393
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 495,469664836831
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 716,025275588603
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -42,1073170532129
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 924,692057387767
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 38,8235853754639
0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 722,186331951362
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 859,376387650119
0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1144,31654323598
