root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 258,313972937926
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 282,764885427597
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 153,007894649293
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -682,551062836546
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 140,624739252913
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 60,2560941015269
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 142,729726757748
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 188,32425694399
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, -6,35630218265095
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 76,9932503067331
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -146,986722102772
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -687,601580776761
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -297,083563225526
0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 318,561126285559
0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 334,720684783622
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 291,007939620389
