root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1049,29526984355
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 886,536102157871
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 752,974875489558
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 154,76563095445
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1085,41415732255
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -113,634668287739
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 69,1538694987741
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -12,8594368613623
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 815,663949968534
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 46,5607410458452
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -124,207396233042
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 968,18663630329
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 99,1324951720312
0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 160,90152252247
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 206,874132265047
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 674,25546471827
