root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -5,76854871735299
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 234,972233326812
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -113,13372100559
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5,78392949681809
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -254,974282825503
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -169,370537809381
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -5,91992906407015
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -83,6807121270452
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -91,3117734402963
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 50,197253929493
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -77,0703582110626
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 204,06277257075
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -72,468346869199
0, 1, 0, 0, 0, 0, 1, 0, 0, 1, -39,1975259519062
0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 185,192747436078
0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 236,502083269729
