root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -5,76854871735299
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 256,738448509514
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -46,970982875999
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 21,943782707814
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -307,56294296569
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -169,370537809381
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 282,850885584206
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -87,7836431143157
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -91,3117734402963
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 50,197253929493
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -77,0703582110626
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -24,0758729775481
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -10,0422187659416
0, 1, 0, 0, 0, 0, 1, 0, 0, 1, -40,0984183085193
0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 184,324544583301
0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 221,651799255721
