root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -117,558570076979
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 177,250991098071
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -151,717035221062
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 107,568046060614
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -80,6797160137721
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -181,174559969457
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -174,12817902914
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -233,399489124106
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 32,7401636913672
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 121,701462325751
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 103,728959341746
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 7,69220124478046
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, -209,407770032245
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 168,805637421028
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, -33,6462678381478
0, 0, 0, 0, 1, 0, 1, 0, 0, 1, -11,9606168504127
