root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 352,778644584275
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 37,7613473318564
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -409,974510039961
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 335,331553938843
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 268,746168925838
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -66,0387803003328
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -77,3025645608464
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, -91,9327615967528
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 281,074406333552
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -52,3677430043299
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 7,70641149931434
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -208,663026464286
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 297,305138742654
0, 0, 1, 1, 1, 0, 0, 0, 0, 0, -284,673415108616
0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 159,302475318291
0, 0, 1, 0, 1, 0, 0, 0, 0, 1, -136,666971819646
