root, time_passes, gvn, instcombine, inline, jump_threading, simplifycfg, sccp, print_used_types, ipsccp, iv_users, licm, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 168,299781423617
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 160,049069223082
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 150,049162719106
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 203,752638333323
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 89,9243667163317
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 166,5142206375
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 33,4050986544491
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 172,275617990357
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 159,588492708516
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 95,3852533530641
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 40,2417007613846
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 9,33859464169016
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 61,5450288821498
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 71,0609267920866
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 70,9359256636242
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 134,947651289859
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 54,4140646253794
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 143,418508272463
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 145,257001004185
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 52,383463646489
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 200,801355687609
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -1,59607250500326
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 123,648892293401
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 184,275628639783
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 62,4387009383459
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 134,51691986034
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 130,259885838782
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 208,360627886479
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 81,8977727376422
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 182,952419690055
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 166,015547006093
0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 84,2906025567327
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 7,42197801871676
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 95,3605921981595
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 57,4910221102406
0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 17,2361254044096
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 68,4158240534553
0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 179,858329355435
