root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 208,956679183327
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 170,834119702732
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 625,552992723225
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 174,635424025615
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1092,74905220326
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 216,441743501263
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 211,823584982038
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 996,883427855735
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 750,481970697251
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 722,606581583213
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 153,451985746899
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 918,113948108974
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 893,626312642264
0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 880,944257767164
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1045,60147714226
0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 515,605153894377
