root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 78,1576619830914
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 590,270629919387
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 564,859092570146
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 174,688615166336
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1053,2124839467
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 214,559040314592
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 369,038820493153
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 186,365045459621
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 267,746370675302
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 727,32822048979
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 231,776620049503
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 918,125646347415
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 945,793345697112
0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 487,06265019526
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1050,09031456614
0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 728,349489774986
