root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -142,726218254258
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 114,227040941703
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -131,293783511571
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -0,916279925618753
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -187,191076623034
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -87,986253963289
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 232,639610010516
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, -98,023567266179
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 65,077820058614
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 75,9635624504557
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -64,8686721867647
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 181,102244716324
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 239,684791742683
0, 1, 0, 0, 1, 0, 0, 0, 1, 0, -442,390787923294
0, 1, 0, 0, 0, 1, 0, 0, 0, 1, -1,77012036962691
0, 1, 0, 0, 0, 1, 1, 0, 0, 0, -434,848578393311
