root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 435,000295652378
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 18,738327642239
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 494,033880379732
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -99,3922295696443
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 191,490056011505
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -28,8384714137547
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -76,8032475258069
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 941,293134032541
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 123,977117060805
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -81,8199192389479
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 846,015000513823
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 407,011633239786
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1198,51997018025
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, -111,813056275563
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 137,129565898554
0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 321,000606102439
