root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -99,394698080054
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -219,149798973171
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 87,6071183840992
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 101,382315102707
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -162,287116736952
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -72,5482009945131
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -248,468344860236
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -155,439878727439
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 147,356717813046
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -183,190522588743
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -218,294683710797
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 332,736077300598
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 53,3628735550999
0, 0, 0, 1, 0, 1, 0, 0, 0, 1, -6,96986993029847
0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 230,6553016173
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 156,70428919472
