root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 707,060442633445
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -60,049840376355
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -151,270667639182
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 795,396400471803
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 123,176357084186
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 572,243416537542
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -98,3166403274259
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 161,700201302067
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 154,424462938535
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 703,378136871219
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 706,740788633694
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -83,6607212081855
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 756,761935277397
0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 67,1429495594611
0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 64,5086663076456
0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 227,578410392186
