root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 545,990077239148
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 507,214863201906
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 290,753223097456
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 809,521564805485
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -37,6826184642015
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 430,666232017219
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 598,557218104612
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 171,048096593958
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 167,992401425286
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 322,441405433552
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 691,011011592885
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -55,5614996141813
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -106,658194440242
0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 758,475704034733
0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 78,3386388482262
0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 661,885437585415
