root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 474,798732672463
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1092,35764973002
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 53,6777348881708
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, -98,1363003889136
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 129,416814465178
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 46,9640133813746
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 812,299723012433
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 18,6389614814316
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 890,686076215336
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, -39,8963253648856
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -60,2339159356552
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 678,807394739526
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1063,87115275738
0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 313,997713711439
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 803,10102620869
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, -102,374545694485
