root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 467,614298711397
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -44,0231977931919
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 880,289528532269
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -41,8501187482972
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1031,70116807467
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -30,1546703667885
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 709,065185467666
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -75,4344938025842
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 447,895098656659
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 731,471797209311
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -22,6372717285969
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 969,829657878875
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 911,73285624621
0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 436,25437085471
0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1034,16684482819
0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1187,58370708947
