root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 72,0422306776223
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -145,999185055298
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 48,5942961460723
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 219,07523948021
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, -31,4155271849298
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, -284,89678274471
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 151,791931673537
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -266,058571778282
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, -53,8127515556397
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -177,694711020168
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 121,838969156533
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -336,56461151526
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 114,388701014826
0, 0, 0, 1, 0, 0, 1, 1, 0, 0, -29,1645701355336
0, 0, 1, 0, 0, 0, 1, 0, 1, 0, -17,4292870976632
0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 206,771894061625
