root, time_passes, gvn, instcombine, inline, jump_threading, simplifycfg, sccp, print_used_types, ipsccp, iv_users, licm, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -43,5384874631363
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 42,6218405949585
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -23,4186837133938
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -41,3283028287804
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -50,2952123590375
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 27,4826414309042
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43,8178187446851
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 55,2746202170359
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -50,3315285786616
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -38,2692108625613
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -40,3362095251195
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -6,39629791732519
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 73,516734492869
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, -33,4563923791401
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10,775856529965
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4,86117998628692
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25,4939899118445
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 38,6839434839071
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 4,54041261482605
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -32,2287248926853
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 73,8292661298641
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 19,3207028467655
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 47,4784341928571
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, -36,5557417800678
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, -48,7320280276765
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4,83518136531421
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 14,9286223520248
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 52,9105370125384
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, -58,3618475615511
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -15,9166397404844
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, -35,1660889521903
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 52,6651456485386
0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -33,4453773392272
0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, -8,07805463027484
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, -28,9622997308921
0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, -24,8894497808759
0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -46,0745806028959
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 8,28821978134932
