root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 277,18743182618
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 638,516384029828
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 633,879634920968
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -91,3999276368655
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 126,615151583022
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, -7,18029999755956
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -201,29241010988
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 103,362797708634
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1061,86678549105
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -95,0034987507091
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 161,114193429329
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1004,81636452435
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 456,251587462669
0, 1, 0, 1, 0, 0, 1, 0, 0, 0, -171,509701791926
0, 0, 0, 1, 0, 0, 1, 0, 0, 1, -73,3505103414612
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 366,901542880923
