root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 140,40249820448
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 185,125291128828
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 164,510316378563
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -229,784070778804
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 318,042900493441
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -191,638912326009
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 54,3826001612887
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 247,244308946079
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, -51,8988078372034
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 237,079851246833
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 255,808388659508
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -4,53249204322535
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 147,61394694199
0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 288,144734634718
0, 1, 0, 1, 0, 0, 1, 0, 0, 0, -52,7088481017566
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, -227,746590099096
