root, Base, HostnameLookups, KeepAlive, EnableSendfile, FollowSymLinks, AccessLog, ExtendedStatus, InMemory, Handle, 0
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -179,746638565359
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 64,1195206703555
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 169,801297162392
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, -151,093495196972
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 298,688214390534
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -191,638912326009
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 217,21104968893
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 316,880113494388
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 250,940679824219
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 240,671254119524
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -29,2820365239777
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1,14114573222231
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 162,905117762157
0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 279,24855038244
0, 1, 0, 1, 0, 0, 1, 0, 0, 0, -130,303543986773
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 288,843820956668
